company_name,tool_support,transportation,self_improvement,meal,working_type,insurance,vacation
8percent,"맥북 프로 15"", iMac 27"", 맥북 프로 13""",empty,"스터디 모임 지원, 자기개발 교육비 지원, 도서구입비 지원","월1회 특별한점심, 맥주 무제한 공급, 고급 커피 제공","시차출퇴근제(09~10, 18~19), 유연 근무, AM 10 - PM 07","매년 건강검진 지원, 4대 보험","자유로운 연차제도, 리프레쉬휴가"
9minteractive,듀얼 모니터,empty,empty,"고급 커피 제공, 간식 무한 제공, 석식 제공",empty,"종합 검진 제공, 4대 보험",empty
april,랩탑? 데스크탑? 어떤거 사용하실래요?,신당역에서 3분거리면 괜찮쥬~?^^,여러분의 성장이 링크샵스의 성장입니다.,"점심은 입맛따라 선택해서 드시구요, 보정동 카페거리 같은 분위기의 사내라운지에서 커피랑 음료한잔 하세요~♥",근무시간은 09:30~18:30이 Best죠^^,"경조사비, 4대 보험","각종 경조사 휴가는 기본옵션! 생일과 결혼기념일은 뽀너스 휴가!!!, 연차는 당연히 쉬고 싶을때 사용하는거 아닌가요??"
atostudy,개인노트북,주거비지원(지방 거주자),"업무유관자격증학습비지원, 월별 도서구입비, 동아리 지원, 스터디 모임 지원",간식 무한 제공,AM 10 - PM 07,4대 보험,"결혼지원금, 여성출산유급휴가, 학습방학제도(1개월 학습방학), 장기근속포상금, 법정연차"
bagelcode,"맥북 프로 15"", 듀얼 모니터",empty,월 게임비 3만원 제공,"석식 제공, 중식 제공, 조식 제공",AM 10 - PM 07,"출산비 지원, 경조사비, 4대 보험",empty
balaan,"30"" 모니터, 맥북 프로 13"", 맥북 프로 15"", 듀얼 모니터",empty,직무교육비지원,"석식 제공, 고급 커피 제공, 간식 무한 제공","AM 10 - PM 07, 유연 근무","경조사비, 종합 검진 제공, 4대 보험","출산 휴가, 자율 휴가제, 월차"
balancehero,"개인모니터지급, 업무용 노트북 지원",야근택시비,"월별 문화비 지원, 직무 도서구입비 및 교육비 지원, 직무교육비지원","월 1회 친목도모를 위한 함께하는 점심/저녁 지원, 고급 커피 제공, 간식 무한 제공","자율 출근, AM 10 - PM 07","퇴직금 및 퇴직연금제, 경조사비, 4대 보험","명절 연휴 전날 단축근무, 리프레시휴가, 생리 휴가, 월차, 자율 휴가제"
barunson,"iMac 27"", 듀얼 모니터",empty,empty,"고급 커피 제공, 중식 제공",유연 근무,4대 보험,자율 휴가제
best2wings,듀얼 모니터,empty,empty,간식 무한 제공,"유연 근무, 원격 근무","경조사비, 종합 검진 제공, 4대 보험","생리 휴가, 출산 휴가, 월차, 3년 근속 시 1달 휴가, 자율 휴가제"
bluewhalefoundation,"맥북 프로 13"", 듀얼 모니터",empty,empty,"간식 무한 제공, 고급 커피 제공",empty,"경조사비, 4대 보험","월차, 출산 휴가"
boscoin,"맥북 프로 15"", 듀얼 모니터",empty,"세미나 참가비 지원, 스터디 모임 지원","과일 제공, 고급 커피 제공, 간식 무한 제공, 석식 제공, 중식 제공",AM 09 - PM 06,4대 보험,자율 휴가제
bravemobile,"Sales 업무폰 지급, Varidask지원, 24"" 피벗 모니터, 27"" 모니터, 맥북 프로 15"", 숨고 후드티, 듀얼 모니터, 삼성 노트북9",야근택시비 지원,"자유로운 사내스터디&세미나, 연간 교육비지원, 숨고 어플체험비, 세미나 참가비 지원, 직무관련 도서 구입 지원","월 1회 랜덤 맛집투어, 야근식대 지원, 명절 상품권 지급, 네스프레소 커피제공, 석식 제공, 야근식대 제공, 음료 무한 제공, 회식비 지원, 간식 무한 제공","재택근무 활용, AM 10 - PM 07, 유연 근무, 주 40시간 근무, 자율출퇴근제","건강검진 (본인및가족할인), 경조사비, 4대 보험","경조휴가및경조금, 연차와 반차, 자유로운 연차사용, 출산 휴가, 월차, 자율 휴가제"
buzzvil,"맥북, 듀얼 모니터",empty,"자기계발비 월 10만원 지급, 무제한도서구매, 스터디 모임 지원, 동아리 지원, 세미나 참가비 지원","고급 커피 제공, 과일 제공, 간식 무한 제공, 조식 제공",유연 근무,"종합 검진 제공, 경조사비, 4대 보험","자율 휴가제, 특별휴가, 월차, 출산 휴가, 생리 휴가"
channelbreeze,노트북지급,야근시 택시비 지급,"월별 체력단련비 최대 10만원 지원, 월별 자기계발비 최대 10만원 지원","고급 커피 제공, 음료제공, 석식 제공",AM9:30-PM6:30,"경조사비, 4대 보험",매 2년마다 휴가(4일) 추가
class101,"30"" 모니터, 모니터+데스크탑, Pivot가능한 25인치 DELL Ultra sharp, 맥북 프로 15"", 맥북 프로 13"", iMac 27"", 스마트폰 지급, 듀얼 모니터","장거리 거주자 사택 지원, 교통비 지원","동아리 지원, 취미 및 자기계발 시간 1시간 제공, 클래스101 무제한 수강, 업무관련 도서비 지원, 스터디 모임 지원, 자기개발 과외비, 세미나 참가비 지원","맛있는 저녁 식사 제공, 맥주 무제한 공급, 고급 커피 제공, 간식 무한 제공","유연 근무, 자율 출근","청년내일채움공제, 경조사비, 종합 검진 제공, 4대 보험","생리 휴가, 월차, 자율 휴가제"
coinplug,empty,empty,도서구입비 무제한 제공,"주1회 점심 제공, 고급 커피 제공, 간식 무한 제공, 석식 제공","AM 09 - PM 06, AM 10 - PM 07","경조사비, 청년내일채움공제, 4대 보험",근로기준법에 의한 휴가 제공
coupang,듀얼 모니터,야근 택시 제공,동호회 지원,"석식 제공, 조식 제공","주1회 원격근무 가능, 유연 근무","경조사비, 종합 검진 제공, 의료 실비 보험, 연1회 건강검진, 의료비지원(직계비속포함), 4대 보험","리조트 지원, 경조 휴가, 기본 연차 제공"
croquis,"듀얼 모니터, 맥북 프로 15""",empty,세미나 참가비 지원,"(야근시)석식 제공, 고급 커피 제공, 간식 무한 제공, 중식 제공",empty,"병역, 2018년 병역지정업체 선정",empty
